full_text
@liputan6dotcom Nggak ada sih pak.. Maka dari itu kita piling Capres yang paling sedikit Parpolnya. Yaitu Anis Capres no 1
@ronaldy596 Insyaallah pak anis bisa membungkam para capres capres yg lain dengan tanggapan dan gagasan nya dan bisa memajukan bangsa dan mensejahterakan rakyat
@cakimiNOW Yang terbaik itu ya cak imin sbg bakal cawapres bersama pak anis sbg capres☝🏻☝🏻☝🏻
@PartaiSocmed @aniesbaswedan Kan semua capres islam ya knp masih ada narasi anti islam kalau bukan milih pak anis
"@Miduk17 Pernyataan kalau kita kalah bisa masuk penjara semua "" itu diungkapkan ketika capres baru pasangan AMIN yang deklarasi duk. Jadi mereka takutnya sama pak Anis. Pak Anis sudah terbukti berani melawan memteri sekelas menko dalam pembatalan reklamasi di dki"""
@kumparan aku malah takut kpu adakan lomba joget antar capres! Anis mesti kalah karena yg 2 suka megal megol yg 3 pinter nari barongsai
@n3ng_c1m0l @NyaiiBubu Saat ganjaris menghujat Anis soal kinerjanya jadi gubernur, ternyata gak beda dengan capres pilihanya soal kinerjanya jadi gubernur 😄😂🤣
Sudah biasa capres anis ini bikin berita dramatis dan retorika, slogan menjatuhkan lawan demi kemenangan tidak sportif.. Lets see...
@MkomEliya Gw paham, tp dlm dialognya, Anis itu di kandidatkan Nasdem untuk jd Capres, artinya nilai anis diatas Nasdem. Klo ad nego2 ya memang seperti itu, toh ad OTAK yg pimpin itu.
Yang kulihat pasangan capres dan cawapres yg terlihat paling sefrekuensi di panggung itu pak Anis sama Cak Imin mereka vibes nya cocok jadi kelihatan kompak,
@DokterTifa Ketiga capres putra terbaik bangsa, saya suka pak anis, sukses pimpin di jakarta, tp secara pribadi saya tidak bis mendukung yang di dukung khilafah.
@Mdy_Asmara1701 pak anis capres tercerdas
@aniesbaswedan @pwiofficial1946 Anis cocoknya jadi moderator bukan capres
@Fahrihamzah Hati dan rasionalitas pengen yg kiri, tapi melangkah kok ke tengah ya bang. Kalo kata Anis yg capres itu pikiran dan tindakan harus senyawa bang. 💪
@LiviusX @qizwinikisle_ @tempodotco Tau apa duhu ? Capres rekam jejak paling terang pak Anis beda dengan no2
