Teks
easy app use really quick easy set absolutely problems drivers
drivers services exceptional since ever
rides enjoyable
driver knew
driver child friendly patient
quick easy use drivers quite friendly
love app easy shows person drive name
best drivers ever
good travel app
cabs clean drivers
love rides
fast affordable efficient means get destination nairobi
perfect transport
rider vey wicked use add money
easiest way find transport safer
safe travel
always good ride good drivers
kids loved spacious ride
enjoyed ride
clean cars
best service best prices
fast convenient friendly drivers smile
never encounted bad experience even drivers professional
convenient way moving around ever
nice ride
always satisfied drivers come time
excellent rides good driving skills displayed
ride bold use bolt nothing exceptionally great
good driver ever
awesome driver good
cars super clean
great drivers hospitable
dont wait longer mins love prices reasonable
efficient drivers awesome
great drivers cars
nice drivers always friendly
cheapeat rate saudi
drivers always profesional
give waiting time never respected min
drivers aloud give impossible pickup time
generally okay wait time could better
drivers friendly cars clean
regular user definitely spiked prices ridiculous amounts
requested help app still reply
utterly disappointed deting account bolt
answer already sent message app
recieved multiple emails someone using email address rides email verification etc would extremely worried use service put payment details
think trust app request cab feels feel bad
app keeps getting expensive day gonna download uber drivers even rude
last time used app terrible driver talks much driver body odour car terrible even saw cockroach car apparently worse ride ever
kak application drivers cancel much take longer
drivers want promotion pay account tell cancel
looks like guys care scam happens drivers answer built in app support chat
driver pick said picked drove way destination collect money
happy cause time suppose free ride pay
lost phone trip local mall home phoned times driver put phone
guy arrived refused come spot actually requested come requested journey friend even though called confirmed details
still got charged journey waiting time kept adding bevause cancelling
drivers app useless
app capturing pickup point clearly thereby misleading driver hence increasing response time
recently money withdrawn account
guys wrong estimation charges
normally select bolt cbd telling two mute wait time find driver westlands south instance
terrible ride sharing app
times good efficient getting unclean drivers dirty cars rude drivers
female requested ride yesterday february around night
driver came man sitting passenger side car
driver called get car refused
efficient service takes away stress booking cab
thnks nice trip
love ride
cars always good clean condition
always good friendly drivers
prices also always reasonable
fantastic ride
drivers polite trustworthy helpful
sometimes prices high expensive
weekly service option use fro
drivers respectful humbe finding ride easy
response highly recommended drivers accommodative wheelchair bound son even thou cars small always make way wheelchair
awesome enjoyed ride
best convenient students adults need transportation
okay pls upgrade gps cos wifi drivers end trip
safe travels
driver normal
great driver great music love
clean good driver lower prices
nice app drivers quick response
pathetic got charged twice estimated price taxi companies able provide estimates accurately never problem uber trips customer support came poor excuse complete nonsense
please cancel trip
taxify reliable way transportation recently every month end time pick prices ridiculously high amounts
taxi drivers extremely rude disrespectful
understand prices change peak hours
drivers good cancelling trips accept cancel
worked great days use bolt get work back seem find ride matter time day night
price much
driver promised bring phone back next day
drivers nice gps
love app safe quick reasonably prices
despite hiccups app great drivers great
good many driver waiting time less
driver cancel ride weather cold know taxi another car parking drove waiting
good app always useful updates ment ease user interface waiting time quite approximate could improved
quality vehicles good drivers
please work gps
company prices better good service
main complaint battery usage even used problem
great app overall although activities section little cumbersome
worst syncing data
database slow clunky contacts
poor sync
poor synchronization data
slow sync data app
barely functional app extremely slow load start sometimes taking minutes main screen show
import contacts phone manual
lay good easy use frustratingly slow
expected manage emails app desktop version
check analytics android app
nice app find log calls
also use discard menu simply click left arrow icon header
mobile app actually type address manually massive chore
using desktop app adding companies
find listing call report schedule new activity
see note future activities easily phone field see another rep calling particular business already
call base database comes goes base app pops asks want call report
means deals products created
pipedrive simply allow lead fade man land
